kin_energy,pot_energy,total_energy,time
8.319741721485457e-12,0.026650725282595808,0.02665072529091555,0.0
3.3613247869422886e-07,0.02665139753091275,0.026651733663391446,0.1
1.3379272447605984e-06,0.026653401120441934,0.026654739047686695,0.2
3.0056261316701857e-06,0.026656736518210912,0.026659742144342583,0.3
5.3396179501691734e-06,0.026661404501841082,0.026666744119791252,0.4
8.340447015230148e-06,0.02666740615996241,0.02667574660697764,0.5
1.2008813436256322e-05,0.026674742892793653,0.02668675170622991,0.6
1.6345573490556883e-05,0.026683416412889592,0.02669976198638015,0.7
2.1351740080448415e-05,0.02669342874605477,0.02671478048613522,0.8
2.7028483274419858e-05,0.02670478223242609,0.026731810715700507,0.9
3.3377130932875764e-05,0.026717479527724505,0.026750856658657382,1.0
4.0399169419056994e-05,0.026731523604676306,0.026771922774095364,1.1
4.8096244395819156e-05,0.026746917754607174,0.026795013999002994,1.2
5.6470161709032225e-05,0.026763665589208945,0.026820135750917976,1.3
6.552288835845062e-05,0.026781771042481223,0.026847293930839674,1.4
7.525655355698619e-05,0.026801238372849548,0.026876494926406536,1.5
8.567344987940744e-05,0.026822072165463576,0.02690774561534298,1.6
9.67760345015736e-05,0.026844277334674968,0.026941053369176543,1.7
0.00010856693053140615,0.026867859126699735,0.02697642605723114,1.8
0.00012104892843288906,0.026892823122465728,0.027013872050898616,1.9
0.000134224987544485,0.026919175240649663,0.02705340022819415,2.0
0.00014809823769345231,0.026946921740906314,0.027095019978599765,2.1
0.00016267198090764355,0.026976069227291073,0.027138741208198716,2.2
0.00017794969322647167,0.027006624651883,0.027184574345109472,2.3
0.00019393502661282848,0.027038595318607632,0.02723253034522046,2.4
0.00021063181096784753,0.027071988887267383,0.02728262069823523,2.5
0.00022804405625051835,0.027106813377780013,0.02733485743403053,2.6
0.0002461759547042721,0.02714307717463263,0.0273892531293369,2.7
0.0002650318831927533,0.027180789031552327,0.02744582091474508,2.8
0.0002846164056471462,0.027219958076401533,0.02750457448204868,2.9
0.00030493427562753065,0.02726059381630007,0.0275655280919276,3.0
0.00032599043900084356,0.027302706142982087,0.027628696581982932,3.1
0.000347790036738223,0.02734630533838978,0.027694095375128003,3.2
0.0003703384078345578,0.027391402080512873,0.027761740488347432,3.3
0.0003936410923532809,0.027438007449478115,0.027831648541831396,3.4
0.00041770383459956476,0.027486132933895818,0.027903836768495383,3.5
0.0004425325864251848,0.027535790437469537,0.027978323023894722,3.6
0.0004681335106685733,0.027586992285875994,0.028055125796544567,3.7
0.0004945129847336248,0.027639751233923145,0.02813426421865677,3.8
0.0005216776043110967,0.027694080472992218,0.028215758077303314,3.9
0.0005496341872465356,0.027749993638774346,0.02829962782602088,4.0
0.0005783897775588907,0.027807504819307338,0.02838589459686623,4.1
0.0006079516496141472,0.02786662856332315,0.028474580212937296,4.2
0.0006383273124585143,0.02792737988891414,0.028565707201372654,4.3
0.0006695245143158949,0.027989774292527983,0.028659298806843876,4.4
0.0007015512472545874,0.028053827758301196,0.028755379005555783,4.5
0.0007344157520283812,0.028119556767741513,0.028853972519769896,4.6
0.0007681265230974584,0.028186978309769024,0.028955104832866483,4.7
0.0008026923138347256,0.028256109891129595,0.02905880220496432,4.8
0.0008381221419234426,0.02832696954718946,0.029165091689112903,4.9
0.0008744252949523528,0.02839957585312622,0.02927400114807857,5.0
0.000911611336214658,0.0284739479355261,0.029385559271740757,5.1
0.0009496901107175883,0.0285501054844036,0.029499795595121187,5.2
0.0009886717514095817,0.028628068765655323,0.029616740517064904,5.3
0.0010285666856322982,0.028707858633964647,0.029736425319596946,5.4
0.0010693856418051957,0.028789496546170454,0.02985888218797565,5.5
0.0011111396563505595,0.028873004575117003,0.029984144231467565,5.6
0.0011538400808673607,0.028958405424002263,0.030112245504869625,5.7
0.0011974985895625927,0.02904572244124009,0.03024322103080268,5.8
0.0012421271869491692,0.029134979635856192,0.030377106822805363,5.9
0.0012877382158199037,0.029226201693436128,0.030513939909256032,6.0
0.0013343443655074198,0.02931941399264505,0.03065375835815247,6.1
0.0013819586804403369,0.02941464262234006,0.030796601302780398,6.2
0.0014305945690066047,0.029511914399297,0.030942508968303604,6.3
0.0014802658127352464,0.029611256886573567,0.031091522699308812,6.4
0.0015309865758082763,0.029712698412533885,0.031243684988342162,6.5
0.0015827714149151766,0.02981626809055663,0.03139903950547181,6.6
0.0016356352894628793,0.029921995839455602,0.03155763112891848,6.7
0.001689593572154647,0.030029912404637184,0.03171950597679183,6.8
0.0017446620599520079,0.03014004938002425,0.03188471143997626,6.9
0.0018008569854345157,0.030252439230775856,0.03205329621621037,7.0
0.0018581950285727722,0.030367115316832824,0.03222531034540559,7.1
0.0019166933289307868,0.0304841119173231,0.03240080524625389,7.2
0.0019763694983147093,0.030603464255858713,0.03257983375417342,7.3
0.0020372416338854853,0.030725208526761527,0.032762450160647015,7.4
0.002099328331754066,0.03084938192225327,0.032948710254007335,7.5
0.002162648701078483,0.030976022660649874,0.03313867136172836,7.6
0.002227222378683189,0.031105170015599884,0.033332392394283074,7.7
0.0022930695442218187,0.031236864346410265,0.03352993389063208,7.8
0.0023602109359057953,0.031371147129503923,0.03373135806540972,7.9
0.0024286678668220384,0.031508060991054174,0.033936728857876214,8.0
0.0024984622418643652,0.03164764974084858,0.034146111982712946,8.1
0.002569616575304152,0.03178995840742964,0.03435957498273379,8.2
0.0026421540090272987,0.03193503327456884,0.03457718728359614,8.3
0.0027160983314656363,0.032082921919129634,0.03479902025059527,8.4
0.002791473997252514,0.03223367325037834,0.03502514724763085,8.5
